actual,predicted
175.0,147.68181
190.51,173.9898
183.7,220.7971
163.29,176.33871
165.0,146.03479
207.5,208.10004
124.74,123.22356
135.0,155.46597
137.5,133.89886
131.54,140.3984
310.0,288.86243
165.0,155.62975
102.5,116.64977
162.5,156.34216
274.42,225.48318
290.3,309.68933
235.0,235.75067
237.5,229.08661
117.5,136.887
142.88,135.3718
272.5,274.46207
158.76,179.70987
155.0,123.79087
135.0,145.78267
105.0,112.646164
230.0,200.25421
260.0,251.94691
272.5,295.98108
88.45,96.77229
324.32,325.15717
102.06,130.69304
200.0,220.26634
75.0,79.29208
142.5,148.10626
305.0,275.84598
250.0,249.102
197.31,202.24042
137.5,151.89134
290.0,278.0987
265.0,235.08678
108.86,112.20968
232.5,216.90237
245.0,205.21175
147.42,144.34076
274.42,295.66876
205.0,226.59644
138.3,140.09491
200.0,188.06715
210.0,195.80222
285.0,240.89386
130.0,111.2575
238.14,232.59303
201.85,211.58212
167.83,172.13785
83.91,128.08102
149.69,161.65036
158.76,165.19461
217.72,210.08844
195.0,202.81612
92.5,91.50281
226.8,230.68878
300.0,268.04117
150.0,171.39172
124.74,129.27087
230.0,245.59949
150.0,138.07132
92.5,78.70565
287.5,260.23294
136.08,125.00571
230.0,211.57388
175.0,168.24957
219.99,215.51074
340.0,327.1506
212.5,194.99428
215.0,189.09773
230.0,198.66693
130.0,146.41782
245.0,244.99638
217.5,193.6812
131.54,130.63051
155.0,136.8814
188.24,197.97299
140.0,172.59056
197.31,208.97594
147.5,126.220436
181.44,184.09177
225.0,212.7016
237.5,248.44626
131.54,120.97704
202.5,197.33864
107.5,113.49634
117.5,99.483955
215.0,240.84492
183.7,165.58163
185.0,202.35124
181.44,164.4814
220.0,222.29936
124.74,146.68332
220.0,229.29376
215.46,217.8923
100.0,117.11214
200.0,234.26064
202.5,181.33978
117.5,127.415596
215.0,225.12793
155.0,165.03258
120.0,105.86656
122.5,117.30596
240.4,227.12845
142.5,134.55501
158.76,178.37335
163.29,190.48125
182.5,169.40121
222.5,270.47998
100.0,114.20725
142.5,137.01047
175.0,196.46408
145.0,141.92133
233.6,240.53352
111.13,154.38481
265.0,239.58183
82.5,92.903496
112.5,118.6574
242.67,215.74763
227.5,220.09998
260.0,218.3375
182.5,214.69412
110.0,123.96448
197.5,245.08945
140.0,132.29297
310.0,279.06137
249.48,248.58716
140.0,162.32985
205.0,202.66704
163.29,166.82234
110.0,123.10602
220.0,214.07635
157.5,149.81346
161.03,169.36682
220.0,231.09518
235.0,233.24654
145.0,141.63295
215.0,227.4472
200.0,209.69011
136.08,151.40697
140.0,158.0834
280.0,201.56514
150.0,185.57007
220.0,216.40259
167.5,146.73863
220.0,218.23224
199.58,192.30112
185.0,176.19017
170.0,175.95424
102.5,118.92377
200.0,226.36545
150.0,145.64973
230.0,230.17783
137.5,111.90421
275.0,253.51183
215.0,216.71404
272.5,226.60597
197.5,222.3469
340.0,299.3839
163.29,204.76393
112.5,119.60657
130.0,137.10248
190.0,195.02255
267.5,253.82475
231.33,208.23682
262.5,262.6626
205.0,170.72557
325.0,316.53522
230.0,233.10022
127.5,123.144745
205.0,209.93549
287.5,278.41718
240.0,232.69217
140.0,134.06343
137.5,141.88222
272.5,257.2215
226.8,220.65518
195.04,161.2223
258.55,260.98468
102.5,117.21106
232.5,216.9127
250.0,268.75824
131.54,134.05518
257.5,263.7668
220.0,209.29594
155.0,152.0108
157.5,177.44807
232.5,229.78706
302.5,274.3966
222.5,222.10292
105.0,107.70533
327.5,307.4787
352.5,306.81564
156.49,171.60309
190.0,168.14204
120.0,123.52403
138.35,141.96257
300.0,294.65628
242.5,220.66365
165.56,166.52032
272.5,256.7054
105.0,112.84852
142.9,154.8699
165.0,153.02425
272.5,230.75299
227.5,250.51062
222.5,227.463
167.5,193.08304
232.5,214.05757
297.5,282.71762
200.0,190.56035
107.5,101.95596
247.5,239.66432
124.74,157.70557
177.5,187.28061
195.0,173.11926
235.0,227.75543
106.59,116.515854
204.12,204.17058
212.5,214.19069
70.0,89.55747
120.0,116.1327
270.0,279.43658
200.0,193.27048
117.5,131.83766
170.0,202.25719
237.5,232.11504
262.5,255.58922
142.88,139.88928
95.0,98.50427
229.06,222.68947
136.08,149.91216
138.35,146.12878
227.5,240.979
280.0,246.23131
199.58,182.37752
277.5,250.13252
190.0,209.80617
137.5,151.73442
195.5,186.93109
125.0,116.959274
158.76,157.92406
